split,action_type,count,baseline_top1,final_top1,delta_top1,final_top3,final_mrr,model_fallback_rate
deck_holdout,ability,4029,0.9101514023330851,0.8694465127823281,-0.04070488955075702,0.9575577066269546,0.9165863059198873,0.20699925539836186
deck_holdout,attack,4463,0.4671745462693256,0.5861528120098588,0.11897826574053322,0.9354694151915752,0.7566027258274625,0.6302935245350662
deck_holdout,bench,4331,0.6474255368275225,0.6515816208727776,0.004156084045255137,0.93165550681136,0.7943334457091299,0.6492726852920804
deck_holdout,boss,622,0.08360128617363344,0.05787781350482315,-0.02572347266881029,0.25241157556270094,0.2656263150033247,0.8617363344051447
deck_holdout,end,1569,0.3683875079668579,0.3690248565965583,0.0006373486297004405,0.7737412364563416,0.5969273848097939,0.48119821542383684
deck_holdout,energy,3760,0.3345744680851064,0.3558510638297872,0.021276595744680826,0.6029255319148936,0.5208061663694011,0.8329787234042553
deck_holdout,evolve,6903,0.48819353904099666,0.6340721425467188,0.14587860350572218,0.8962769810227438,0.7711754087230221,0.8321019846443575
deck_holdout,hammer,871,0.7623421354764638,0.34443168771526983,-0.41791044776119396,0.801377726750861,0.5879390095808007,0.8438576349024111
deck_holdout,retreat,591,0.0,0.04230118443316413,0.04230118443316413,0.43824027072758037,0.2913238796320805,0.6243654822335025
deck_holdout,trainer,7214,0.11089548100914888,0.29969503742722486,0.188799556418076,0.6673135569725533,0.5178982661003886,0.7644857222068201
deck_holdout,xerosic,1068,0.15636704119850187,0.14606741573033707,-0.010299625468164791,0.5411985018726592,0.4014273387868893,0.8726591760299626
