version,submission_id,episode_id,create_time,seat,opponent_submission,opponent_rating,our_rating_before,our_rating_after,won,went_first,opponent_family,opponent_deck_hash,exact_mirror,wall_family,turns,our_turns,our_prize_left,opp_prize_left,our_deck_left,opp_deck_left,our_bodies_left,board_out,deck_out,first_ready_turn,first_shadow_turn,first_attack_turn,opp_first_attack_turn,own_first_shadow_turn,own_first_ready_turn,gate_violation,shadow_attacks,attacks,grim_evolutions,rare_candies,adrena_brains,froslass_actions,froslass_true_evolutions,stamps,bosses,lillies,our_decisions,our_multi_pick,our_ends,our_overage_start,our_overage_end,our_overage_used,opp_overage_used,odd_status,steps
v22_a,55479857,92644773,2026-08-13T12:19:42.043074700Z,0,55451784,1021.0118,961.8219,954.7254,0,first,Grimmsnarl (mirror),9714ab5c3996f6cc,1,0,12,6,2,2,12,22,5,0,0,5,5,3,6,3,3,0,4,5,3,0,3,1,1,1,0,3,99,6,1,600.0,589.6929810000003,10.307,286.822,,214
v22_a,55479857,92645759,2026-08-13T12:23:44.098673100Z,1,55465316,999.213,966.5497,975.8561,1,second,Dragapult,dfca0c2c2e73cd83,0,0,10,5,2,1,18,28,5,0,0,4,4,4,5,2,2,0,4,4,2,1,4,2,1,1,0,4,91,5,1,600.0,587.4593040000001,12.541,272.285,,188
v22_a,55479857,92646648,2026-08-13T12:27:42.170519600Z,1,55459452,595.3618,965.4633,966.5497,1,second,Grimmsnarl (mirror),7e240191ca77bda3,0,0,12,6,1,4,22,21,6,0,0,4,6,6,5,3,2,1,4,4,2,1,10,0,0,1,2,2,115,4,2,600.0,588.5095400000001,11.49,2.157,,206
v22_a,55479857,92647393,2026-08-13T12:31:42.317956900Z,1,55481866,1042.5118,975.8561,985.4574,1,second,Mega Lopunny / Froslass,a7ee29914c1dce64,0,0,16,8,2,1,13,9,5,0,0,6,6,6,5,3,3,0,6,6,3,1,12,0,0,2,0,2,143,4,2,600.0,586.423408,13.577,11.082,,248
v22_a,55479857,92647581,2026-08-13T12:31:42.656207Z,1,55457080,973.5571,985.4574,992.9371,1,second,Kangaskhan / Crustle,2615cb184074e798,0,1,30,15,1,1,4,7,6,0,0,8,8,6,5,4,4,0,10,12,2,2,16,2,2,0,1,1,155,4,2,600.0,581.0464219999998,18.954,15.966,,254
v22_a,55479857,92648514,2026-08-13T12:35:42.003402500Z,1,55300907,962.3118,992.9371,999.7141,1,second,Grimmsnarl (mirror),9714ab5c3996f6cc,1,0,12,6,2,1,19,23,3,0,0,6,6,6,5,3,3,0,4,4,3,1,10,0,0,2,1,1,109,4,2,600.0,585.41935,14.581,16.687,,194
v22_a,55479857,92651224,2026-08-13T12:47:42.504990300Z,0,55472097,992.8856,999.7141,1006.9262,1,first,Mega Lopunny / Froslass,a7ee29914c1dce64,0,0,13,7,1,3,20,3,6,0,0,3,3,3,2,2,2,0,5,5,3,3,11,0,0,1,0,2,120,5,1,600.0,587.0780520000004,12.922,12.795,,223
v22_a,55479857,92656803,2026-08-13T13:11:42.123790700Z,1,55481856,1036.7166,1006.9262,1000.5752,0,second,Grimmsnarl (mirror),9714ab5c3996f6cc,1,0,11,5,3,1,17,25,3,0,0,4,4,4,5,2,2,0,4,4,2,2,3,6,1,1,0,2,82,4,1,600.0,583.294663,16.705,29.682,,182
v22_b,55483874,92656601,2026-08-13T13:11:41.800574500Z,1,54463938,612.4814,600.0,712.5123,1,second,Mega Lopunny / Froslass,036d381751b6ece8,0,0,12,6,1,3,19,17,6,0,0,8,8,8,3,4,4,0,2,2,1,0,9,5,1,1,1,3,104,3,3,600.0,586.8250019999999,13.175,3.496,,168
v22_b,55483874,92657522,2026-08-13T13:15:41.959705900Z,0,55327394,698.3188,712.5123,805.0717,1,first,Alakazam,65980f1c1e35b45d,0,0,5,3,6,6,29,42,6,0,0,5,5,5,,3,3,0,1,1,1,1,0,0,0,0,0,2,34,2,2,600.0,593.6165460000001,6.383,0.49,,44
