matchup,game,seat0,seat1,winner,result,error_agent,error_type,illegal_agent,elapsed_ms,moves_seat0,moves_seat1,time_seat0_ms,time_seat1_ms
alakazam741_v2__vs__alakazam741_v3,8,alakazam741_v3,alakazam741_v2,alakazam741_v2,win,,,,129.26439999137074,48,72,22.257599979639053,39.82700005872175
alakazam741_v2__vs__alakazam741_v3,9,alakazam741_v2,alakazam741_v3,alakazam741_v3,win,,,,181.45589996129274,72,71,35.81179981119931,56.79770006099716
alakazam741_v2__vs__alakazam741_v3,10,alakazam741_v3,alakazam741_v2,alakazam741_v3,win,,,,212.19949994701892,69,84,61.38889992143959,52.80450021382421
alakazam741_v2__vs__alakazam741_v3,11,alakazam741_v2,alakazam741_v3,alakazam741_v2,win,,,,49.7225999715738,37,4,22.02549990033731,1.4263000339269638
alakazam741_v2__vs__alakazam741_v3,12,alakazam741_v3,alakazam741_v2,alakazam741_v3,win,,,,196.6532999649644,67,83,54.75110013503581,43.73949993168935
alakazam741_v2__vs__alakazam741_v3,13,alakazam741_v2,alakazam741_v3,alakazam741_v3,win,,,,105.5837000021711,29,64,10.35629998659715,37.38430037628859
alakazam741_v2__vs__alakazam741_v3,14,alakazam741_v3,alakazam741_v2,alakazam741_v3,win,,,,165.49899999517947,70,76,40.1044002501294,35.071900056209415
alakazam741_v2__vs__alakazam741_v3,15,alakazam741_v2,alakazam741_v3,alakazam741_v2,win,,,,148.1950000161305,80,54,49.66979968594387,22.493600146844983
alakazam741_v2__vs__alakazam741_v3,16,alakazam741_v3,alakazam741_v2,alakazam741_v3,win,,,,183.08069999329746,75,80,48.008599842432886,38.03670027991757
alakazam741_v2__vs__alakazam741_v3,17,alakazam741_v2,alakazam741_v3,alakazam741_v2,win,,,,28.163100010715425,25,8,8.719700097572058,2.7482000296004117
alakazam741_v2__vs__alakazam741_v3,18,alakazam741_v3,alakazam741_v2,alakazam741_v3,win,,,,131.86540000606328,68,70,36.51869960594922,24.570400011725724
alakazam741_v2__vs__alakazam741_v3,19,alakazam741_v2,alakazam741_v3,alakazam741_v3,win,,,,179.44279999937862,79,70,35.45030002715066,47.08019987447187
alakazam741_v2__vs__alakazam741_v3,20,alakazam741_v3,alakazam741_v2,alakazam741_v3,win,,,,169.3041999824345,72,64,47.748500073794276,31.899800233077258
alakazam741_v2__vs__alakazam741_v3,21,alakazam741_v2,alakazam741_v3,alakazam741_v3,win,,,,208.04270001826808,80,76,45.270400354638696,56.936599779874086
alakazam741_v2__vs__alakazam741_v3,22,alakazam741_v3,alakazam741_v2,alakazam741_v3,win,,,,222.96669997740537,90,93,64.9890995118767,48.457699769642204
alakazam741_v2__vs__alakazam741_v3,23,alakazam741_v2,alakazam741_v3,alakazam741_v2,win,,,,223.56469999067485,80,85,51.314199750777334,62.38210009178147
alakazam741_v2__vs__alakazam741_v3,24,alakazam741_v3,alakazam741_v2,alakazam741_v3,win,,,,179.93320000823587,55,86,39.71969964914024,49.67549990396947
alakazam741_v2__vs__alakazam741_v3,25,alakazam741_v2,alakazam741_v3,alakazam741_v3,win,,,,122.13020003400743,54,57,22.103999857790768,35.52269999636337
alakazam741_v2__vs__alakazam741_v3,26,alakazam741_v3,alakazam741_v2,alakazam741_v3,win,,,,192.68570002168417,90,88,53.286499867681414,39.94620020966977
alakazam741_v2__vs__alakazam741_v3,27,alakazam741_v2,alakazam741_v3,alakazam741_v3,win,,,,8.060499967541546,9,5,1.5088000218383968,0.9291999158449471
alakazam741_v2__vs__alakazam741_v3,28,alakazam741_v3,alakazam741_v2,alakazam741_v3,win,,,,237.6953000202775,75,98,48.807499930262566,72.28909997502342
alakazam741_v2__vs__alakazam741_v3,29,alakazam741_v2,alakazam741_v3,alakazam741_v2,win,,,,139.4158999901265,78,40,46.02470027748495,20.186399982776493
alakazam741_v2__vs__alakazam741_v3,30,alakazam741_v3,alakazam741_v2,alakazam741_v3,win,,,,199.93510004132986,71,91,45.24900013348088,54.292199842166156
alakazam741_v2__vs__alakazam741_v3,31,alakazam741_v2,alakazam741_v3,alakazam741_v2,win,,,,132.93500000145286,65,55,36.88869986217469,26.640600059181452
alakazam741_v2__vs__alakazam741_v3,32,alakazam741_v3,alakazam741_v2,alakazam741_v2,win,,,,145.5265000113286,42,76,22.794999938923866,45.62659974908456
alakazam741_v2__vs__alakazam741_v3,33,alakazam741_v2,alakazam741_v3,alakazam741_v3,win,,,,170.22269999142736,88,67,45.75050011044368,33.87329983524978
alakazam741_v2__vs__alakazam741_v3,34,alakazam741_v3,alakazam741_v2,alakazam741_v3,win,,,,291.3076999830082,96,98,70.86399995023385,70.99509978434071
alakazam741_v2__vs__alakazam741_v3,35,alakazam741_v2,alakazam741_v3,alakazam741_v3,win,,,,216.28619998227805,86,74,48.559899791143835,51.62250000284985
alakazam741_v2__vs__alakazam741_v3,36,alakazam741_v3,alakazam741_v2,alakazam741_v3,win,,,,203.49790004547685,77,81,49.24830002710223,44.041400018613786
alakazam741_v2__vs__alakazam741_v3,37,alakazam741_v2,alakazam741_v3,alakazam741_v3,win,,,,164.82239996548742,75,72,34.32960028294474,45.11429998092353
alakazam741_v2__vs__alakazam741_v3,38,alakazam741_v3,alakazam741_v2,alakazam741_v3,win,,,,229.82809995301068,88,79,73.72800004668534,43.900600168854
alakazam741_v2__vs__alakazam741_v3,39,alakazam741_v2,alakazam741_v3,alakazam741_v3,win,,,,150.17410001019016,82,48,40.674799820408225,30.536000325810164
alakazam741_v2__vs__alakazam741_v3,40,alakazam741_v3,alakazam741_v2,alakazam741_v2,win,,,,231.88829998252913,91,100,54.65519963763654,62.27399985073134
