adrena_brains,attacks,bosses,create_time,episode_id,first_attack_turn,first_ready_turn,first_shadow_turn,froslass_evolves,grim_evolutions,opp_deck_left,opp_first_attack_turn,opp_prize_left,opponent_deck_hash,opponent_family,opponent_rating,opponent_submission,our_bodies_left,our_deck_left,our_prize_left,our_rating,our_turns,own_first_ready_turn,own_first_shadow_turn,rare_candies,seat,shadow_attacks,stamps,turns,version,went_first,won
4,3,1,2026-08-12T03:39:37.066066900Z,92188596,6,6,6,7,2,20,3,3,cc38cb450b86770a,Alakazam,766.934,55447816,4,17,1,889.0988,5,3,3,1,1,3,1,10,v19,False,True
1,4,0,2026-08-12T03:43:36.526855600Z,92189596,3,3,3,0,2,35,2,3,05f854e1b3b3ba0f,Mega Lucario,890.4573,55447568,5,24,1,893.2153,5,2,2,1,0,4,2,9,v19,True,True
9,4,1,2026-08-12T03:59:35.752107400Z,92193254,7,7,7,0,2,10,2,3,0108c79d688ec17b,Mega Lucario,837.3679,55448054,5,27,3,899.7779,7,4,4,1,0,4,0,13,v19,True,True
6,4,0,2026-08-12T01:16:00.797810500Z,92155899,3,3,3,3,3,21,4,2,9714ab5c3996f6cc,Grimmsnarl (mirror),,55445769,3,22,2,,5,2,2,2,0,4,0,10,v20,True,False
6,4,0,2026-08-12T01:19:11.704447900Z,92156001,4,4,4,1,2,34,3,3,1a5a0c5b50e7199e,Archaludon,607.7142,54095421,5,22,2,600.0,5,2,2,1,1,4,1,10,v20,False,True
0,5,0,2026-08-12T01:23:10.807426100Z,92156919,4,6,6,5,2,0,5,2,a665414222aea434,Alakazam,649.8118,55400278,5,21,2,711.087,6,3,3,0,1,4,0,12,v20,False,True
7,6,0,2026-08-12T01:27:10.665769300Z,92157852,4,4,4,0,2,25,3,1,9714ab5c3996f6cc,Grimmsnarl (mirror),808.0501,55445803,6,22,1,902.1595,7,2,2,1,1,6,2,14,v20,False,True
12,5,0,2026-08-12T01:27:10.668909800Z,92157854,6,6,6,0,2,23,5,4,9714ab5c3996f6cc,Grimmsnarl (mirror),893.8076,55318486,5,19,1,791.3305,7,3,3,0,1,5,2,14,v20,False,True
7,4,1,2026-08-12T01:31:11.029555400Z,92158798,4,4,4,0,3,19,3,1,a7ee29914c1dce64,Mega Lopunny / Froslass,884.7825,55424549,4,15,1,949.5639,6,2,2,3,1,4,2,13,v20,False,False
0,3,0,2026-08-12T01:35:10.871048800Z,92159753,3,3,3,2,1,43,2,6,1650450cac935c2d,Alakazam,714.1472,54417767,5,33,3,872.4869,4,2,2,1,0,3,0,7,v20,True,True
