rank,team_name,submission_id,score,archetype,deck_hash,deck_source
40,szlachetny snieg,55254018,1049.8,Marnie's Grimmsnarl ex / Munkidori,9714ab5c3996f6cc,episode_seat
41,palsystem,55107167,1049.7,Fezandipiti ex / Thwackey,711c221c9cc49384,episode_seat
41,junlee789,55164781,1056.0,Cynthia's Garchomp ex / Cynthia's Roserade,daff2ed17de6145d,submission_replay_index
42,insuperabilehart,55243043,1049.3,Teal Mask Ogerpon ex,0dede7cb8026e473,episode_seat
43,Zhenyu Zhang,55168898,1054.6,Mega Lopunny ex / Dudunsparce,6fa64c0e3b2eb67c,submission_replay_index
43,Xiangyu Liu,55238859,1048.9,Fezandipiti ex / Alakazam,cc38cb450b86770a,episode_seat
44,THIRD PTCG Club,55148565,1053.4,Team Rocket's Mewtwo ex / Team Rocket's Spidops,a5da150e509834c5,submission_replay_index
44,bono,55184624,1047.2,Fezandipiti ex / Thwackey,711c221c9cc49384,episode_seat
45,MissingNo.,55148208,1050.6,Marnie's Grimmsnarl ex / Munkidori,9714ab5c3996f6cc,submission_replay_index
45,Vermillion City Pikachu,55252638,1044.7,Mega Kangaskhan ex / Crustle,113d55a83235ffaa,episode_seat
46,李秉叡（ntumlnoob）,55172889,1049.4,Mega Lopunny ex / Dudunsparce,6fa64c0e3b2eb67c,submission_replay_index
46,Mearyl,55231083,1044.5,Fezandipiti ex / Alakazam,cc38cb450b86770a,episode_seat
47,NorthStar,55130199,1043.2,Fezandipiti ex / Alakazam,cc38cb450b86770a,episode_seat
48,Roy Pidril,55159565,1048.5,Marnie's Grimmsnarl ex / Munkidori,9714ab5c3996f6cc,submission_replay_index
48,Arthurs Torres24,55227232,1042.8,Marnie's Grimmsnarl ex / Munkidori,9714ab5c3996f6cc,episode_seat
49,insuperabilehart,55164085,1046.4,Marnie's Grimmsnarl ex / Munkidori,9714ab5c3996f6cc,submission_replay_index
49,llkarill,55217790,1041.1,Arboliva ex / Teal Mask Ogerpon ex,013a3f18f784d326,episode_seat
50,miya,55157623,1046.3,Marnie's Grimmsnarl ex / Munkidori,9714ab5c3996f6cc,submission_replay_index
50,RtoABC,55239385,1040.0,Dragapult ex / Dudunsparce ex,10fc83264fd70470,episode_seat
